"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"grapefruit juice white shelf stable ";"grapefruit juice white shelf stable ";12.3333333333333;0;0.02;0;0;0;0;0
"grapefruit juice, red, not fortified, not from concentrate, refrigerated";"grapefruit juice, red, not fortified, not from concentrate, refrigerated";19.02;0;0;7.116;0;0;0.022;0
"grapefruit juice, red, refrigerated, not fortified, not from concentrate";"grapefruit juice, red, refrigerated, not fortified, not from concentrate";19.02125;0;0;0;0;0;0.022;0
"grapefruit juice, white, canned or bottled, unsweetened";"grapefruit juice, white, canned or bottled, unsweetened";12;0;0.02;7.72;0;0;0;0
"grapefruit juice, white, shelf stable ";"grapefruit juice, white, shelf stable ";0;0;0;0;0;0;0;0
"grapes, green, seedless, raw";"grapes, green, seedless, raw";0;0;0;16.133;0;0;0;0
"grapes, red, seedless, raw";"grapes, red, seedless, raw";0;0;0;17.341;0;0;0;0
"ground flaxseed meal";"ground flaxseed meal";41.45;1.11625;0;0;0.30125;0.5725;0.392625;0.178386380458919
"ham, sliced, restaurant";"ham, sliced, restaurant";0;0;0;2.2;0;0;0;0
"hot dogs beef";"hot dogs beef";0;0;0.154444444444444;0;0;0;0.130222222222222;0
"hummus";"hummus";36.3333333333333;0;0.115;0;0;0;0;0
"hummus ";"hummus ";0;0;0;0;0;0;0.143333333333333;0
"hummus, commercial";"hummus, commercial";36;0;0.115;0.34;0;0;0.143;0
"italian pork sausage, great value, cooked";"italian pork sausage, great value, cooked";0;0;0.27;0;0;0;0.391;0
"italian pork sausage, johnsonville mild, cooked";"italian pork sausage, johnsonville mild, cooked";0;0;0.233333333333333;0;0;0;0.297;0
"italian pork sausage, store/other, cooked";"italian pork sausage, store/other, cooked";0;0;0;0;0;0;0.387;0
"kale";"kale";63.5;0;0.243333333333333;0;0;0;0;0
"kale ";"kale ";0;0;0;0;0;0;0.105;0
"kale, frozen, cooked, boiled, drained, without salt";"kale, frozen, cooked, boiled, drained, without salt";65;0;0.14;1.12;0;0;0.063;0
"kale, raw";"kale, raw";62;0;0.347;0.8;0;0;0.147;0
"ketchup, restaurant";"ketchup, restaurant";0;0;0;21.8;0;0;0;0
"kiwi, pass ";"kiwi, pass ";3;0.011;0.00571428571428571;0;0.00357142857142857;0.00871428571428571;0.0174285714285714;0.05175983436853
"kiwi, region ";"kiwi, region ";7.57142857142857;0.00571428571428571;0.00785714285714286;0;0.002;0.00435714285714286;0.0173571428571429;0.0287015615962984
"kiwifruit, green, raw";"kiwifruit, green, raw";26;0.039;0.025;8.99;0.013;0.03;0.061;0.188405797101449
"lettuce, cos or romaine, raw";"lettuce, cos or romaine, raw";50;0.066;0.072;1.19;0.011;0.024;0.078;0.122222222222222
