"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"flour, soy, full fat";"flour, soy, full fat";0;33.2438650306748;26.2596153846154;0;172.709923664122;750.664893617021;27.0961538461538;50.5930984902948
"flour, spelt, whole grain";"flour, spelt, whole grain";9.60484375;0;11.0086538461538;0;0;0;18.1153846153846;0
"flour, wheat, all";"flour, wheat, all";28.5;0;23.3333333333333;0;0;0;5.8974358974359;0
"flour, whole grain oat";"flour, whole grain oat";8.671875;0;12.4038461538462;0;0;0;11.3509615384615;0
"flour, whole wheat";"flour, whole wheat";9.65625;0;0;0;0;0;20.3269230769231;0
"flour, whole wheat, unenriched";"flour, whole wheat, unenriched";9.75;0;9.83516483516484;0;0;0;20.6153846153846;0
"folate, cheddar cheese, sliced, cracker barrel";"folate, cheddar cheese, sliced, cracker barrel";4.5;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, sargento sharp ";"folate, cheddar cheese, sliced, sargento sharp ";7.5;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";"folate, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese";6;0;0;0;0;0;0;0
"folate, cheddar cheese, sliced, tillamook";"folate, cheddar cheese, sliced, tillamook";3.5;0;0;0;0;0;0;0
"folate, cheese, swiss, slices";"folate, cheese, swiss, slices";2.375;0;0;0;0;0;0;0
"folate, cottage cheese, ";"folate, cottage cheese, ";2.5;0;0;0;0;0;0;0
"folate, mozzarella cheese, low";"folate, mozzarella cheese, low";6.5625;0;0;0;0;0;0;0
"folate, mustard, yellow, frenchs classic";"folate, mustard, yellow, frenchs classic";1.875;0;0;0;0;0;0;0
"folate, onion rings, frozen, alexia";"folate, onion rings, frozen, alexia";6.75;0;0;0;0;0;0;0
"folate, onion rings, frozen, ore";"folate, onion rings, frozen, ore";8.16666666666667;0;0;0;0;0;0;0
"folate, onion rings, frozen, store brand/other";"folate, onion rings, frozen, store brand/other";8.75;0;0;0;0;0;0;0
"folate, parmesan cheese, grated, kraft ";"folate, parmesan cheese, grated, kraft ";1.5;0;0;0;0;0;0;0
"folate, peanut butter, creamy, jif";"folate, peanut butter, creamy, jif";22.4166666666667;0;0;0;0;0;0;0
"folate, peanut butter, creamy, skippy";"folate, peanut butter, creamy, skippy";22.25;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, great value";"folate, peanut butter, creamy, store brand/other brand, great value";19.5;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, kroger";"folate, peanut butter, creamy, store brand/other brand, kroger";21;0;0;0;0;0;0;0
"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite";"folate, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite";19.5;0;0;0;0;0;0;0
"folate, pickles, kosher dill, spears, vlasic";"folate, pickles, kosher dill, spears, vlasic";2;0;0;0;0;0;0;0
"folate, whole wheat bread, natures own";"folate, whole wheat bread, natures own";12.5833333333333;0;0;0;0;0;0;0
"folate, whole wheat bread, store brand/other";"folate, whole wheat bread, store brand/other";9.33333333333333;0;0;0;0;0;0;0
"folate, whole wheat bread, stroehmann dutch county";"folate, whole wheat bread, stroehmann dutch county";6.75;0;0;0;0;0;0;0
"folate, yogurt, greek, strawberry, non";"folate, yogurt, greek, strawberry, non";5;0;0;0;0;0;0;0
"folates, lettuce, romaine, fresh";"folates, lettuce, romaine, fresh";13.6666666666667;0;0;0;0;0;0;0
"frankfurter, beef, unheated";"frankfurter, beef, unheated";0;0;11.8461538461538;5.04;0;0;10;0
"grape juice, purple, from concentrate with added vitamin c, shelf stable";"grape juice, purple, from concentrate with added vitamin c, shelf stable";0.16609375;0;0;0;0;0;2.97596153846154;0
"grape juice, purple, with added vitamin c, from concentrate, shelf stable";"grape juice, purple, with added vitamin c, from concentrate, shelf stable";0.1661;0;0;56.144;0;0;2.97615384615385;0
"grape juice, white, from concentrate with added vitamin c, shelf stable";"grape juice, white, from concentrate with added vitamin c, shelf stable";0.4328125;0;0;0;0;0;1.08653846153846;0
"grape juice, white, with added vitamin c, from concentrate, shelf stable";"grape juice, white, with added vitamin c, from concentrate, shelf stable";0.43275;0;0;57.784;0;0;1.08692307692308;0
"grapefruit juice white shelf stable ";"grapefruit juice white shelf stable ";3.08333333333333;0;1.53846153846154;0;0;0;0;0
"grapefruit juice, red, not fortified, not from concentrate, refrigerated";"grapefruit juice, red, not fortified, not from concentrate, refrigerated";4.755;0;0;28.464;0;0;1.69230769230769;0
"grapefruit juice, red, refrigerated, not fortified, not from concentrate";"grapefruit juice, red, refrigerated, not fortified, not from concentrate";4.7553125;0;0;0;0;0;1.69230769230769;0
"grapefruit juice, white, canned or bottled, unsweetened";"grapefruit juice, white, canned or bottled, unsweetened";3;0;1.53846153846154;30.88;0;0;0;0
"grapefruit juice, white, shelf stable ";"grapefruit juice, white, shelf stable ";0;0;0;0;0;0;0;0
"grapes, green, seedless, raw";"grapes, green, seedless, raw";0;0;0;64.532;0;0;0;0
"grapes, red, seedless, raw";"grapes, red, seedless, raw";0;0;0;69.364;0;0;0;0
"ground flaxseed meal";"ground flaxseed meal";10.3625;17.1203987730061;0;0;114.980916030534;304.521276595745;30.2019230769231;71.3545521835677
"ham, sliced, restaurant";"ham, sliced, restaurant";0;0;0;8.8;0;0;0;0
"hot dogs beef";"hot dogs beef";0;0;11.8803418803419;0;0;0;10.017094017094;0
"hummus";"hummus";9.08333333333333;0;8.84615384615385;0;0;0;0;0
"hummus ";"hummus ";0;0;0;0;0;0;11.025641025641;0
"hummus, commercial";"hummus, commercial";9;0;8.84615384615385;1.36;0;0;11;0
"italian pork sausage, great value, cooked";"italian pork sausage, great value, cooked";0;0;20.7692307692308;0;0;0;30.0769230769231;0
"italian pork sausage, johnsonville mild, cooked";"italian pork sausage, johnsonville mild, cooked";0;0;17.9487179487179;0;0;0;22.8461538461539;0
"italian pork sausage, store/other, cooked";"italian pork sausage, store/other, cooked";0;0;0;0;0;0;29.7692307692308;0
"kale";"kale";15.875;0;18.7179487179487;0;0;0;0;0
"kale ";"kale ";0;0;0;0;0;0;8.07692307692308;0
"kale, frozen, cooked, boiled, drained, without salt";"kale, frozen, cooked, boiled, drained, without salt";16.25;0;10.7692307692308;4.48;0;0;4.84615384615385;0
"kale, raw";"kale, raw";15.5;0;26.6923076923077;3.2;0;0;11.3076923076923;0
"ketchup, restaurant";"ketchup, restaurant";0;0;0;87.2;0;0;0;0
"kiwi, pass ";"kiwi, pass ";0.75;0.168711656441718;0.43956043956044;0;1.36314067611778;4.63525835866261;1.34065934065934;20.703933747412
"kiwi, region ";"kiwi, region ";1.89285714285714;0.0876424189307625;0.604395604395604;0;0.763358778625954;2.31762917933131;1.33516483516484;11.4806246385194
"kiwifruit, green, raw";"kiwifruit, green, raw";6.5;0.598159509202454;1.92307692307692;35.96;4.9618320610687;15.9574468085106;4.69230769230769;75.3623188405797
"lettuce, cos or romaine, raw";"lettuce, cos or romaine, raw";12.5;1.01226993865031;5.53846153846154;4.76;4.19847328244275;12.7659574468085;6;48.8888888888889
"melons, cantaloupe, raw";"melons, cantaloupe, raw";3.5;0.291411042944785;2.07692307692308;31.52;0.763358778625954;6.38297872340426;3.07692307692308;25.8064516129032
"milk, ";"milk, ";0.208333333333333;1.26533742331288;5.3349358974359;0;8.42875318066158;44.104609929078;2.33974358974359;26.6941624365482
"milk, lowfat, fluid, ";"milk, lowfat, fluid, ";0.5;2.57668711656442;10.7692307692308;19.84;17.175572519084;88.8297872340426;4.61538461538461;53.7313432835821
"milk, nonfat, fluid, with added vitamin a and vitamin d";"milk, nonfat, fluid, with added vitamin a and vitamin d";0.5;2.57668711656442;10.0769230769231;20.2;18.3206106870229;89.3617021276596;4.46153846153846;57.1428571428571
"milk, reduced fat, fluid, ";"milk, reduced fat, fluid, ";0.5;2.5;10.5384615384615;19.56;16.030534351145;87.7659574468085;4.69230769230769;51.219512195122
"milk, skim";"milk, skim";0;0;10.0769230769231;0;0;0;4.47435897435897;0
"milk, skim ";"milk, skim ";0.5;2.59458077709611;0;0;17.8117048346056;89.5390070921986;0;55.3086419753086
"milk, whole";"milk, whole";0;0;10.5961538461538;0;0;0;4.69230769230769;0
"milk, whole ";"milk, whole ";0;2.46676891615542;0;0;16.5394402035623;86.436170212766;0;53.6082474226804
"milk, whole, ";"milk, whole, ";0;2.46932515337423;10.6153846153846;19.24;16.412213740458;86.1702127659575;4.69230769230769;53.250773993808
"mission figs, dried, region ";"mission figs, dried, region ";0.553571428571429;0.14022787028922;2.13736263736264;0;0.845147219193021;2.62158054711246;2.80769230769231;8.99045261669024
"mushroom, beech";"mushroom, beech";0;0;15.9615384615385;0;0;0;8.10769230769231;0
"mushroom, crimini";"mushroom, crimini";0;0;39.7461538461538;0;0;0;8.65384615384615;0
"mushroom, enoki";"mushroom, enoki";0;0;18.4615384615385;0;0;0;9.13846153846154;0
"mushroom, king oyster";"mushroom, king oyster";0;0;18.7538461538462;0;0;0;9.13846153846154;0
"mushroom, lion's mane";"mushroom, lion's mane";7.395;0;27.9307692307692;0;0;0;5.03846153846154;0
"mushroom, maitake";"mushroom, maitake";0;0;20.7230769230769;0;0;0;5.46153846153846;0
"mushroom, oyster";"mushroom, oyster";15.785;0;18.7538461538462;0;0;0;7.60615384615385;0
"mushroom, pioppini";"mushroom, pioppini";0;0;32.7923076923077;0;0;0;7.86923076923077;0
"mushroom, portabella";"mushroom, portabella";0;0;35.7692307692308;0;0;0;7.45538461538461;0
"mushrooms, crimini";"mushrooms, crimini";0;0;39.7435897435897;0;0;0;8.65384615384615;0
"mushrooms, enoki";"mushrooms, enoki";0;0;18.4615384615385;0;0;0;9.14102564102564;0
"mushrooms, hon";"mushrooms, hon";0;0;15.9615384615385;0;0;0;8.11057692307692;0
"mushrooms, king oyster";"mushrooms, king oyster";0;0;18.75;0;0;0;9.13461538461538;0
"mushrooms, lions mane";"mushrooms, lions mane";7.3953125;0;27.9326923076923;0;0;0;5.03846153846154;0
"mushrooms, maitake";"mushrooms, maitake";0;0;20.7211538461538;0;0;0;5.46153846153846;0
